date,Rate
2019-12-18,39.5293
2019-12-19,39.3212
2019-12-20,39.2459
2019-12-21,39.2459
2019-12-22,39.2773
2019-12-23,39.0503
2019-12-24,39.0014
2019-12-25,39.0942
2019-12-26,39.2297
2019-12-27,39.4672
2019-12-28,39.4521
2019-12-29,39.4983
2019-12-30,39.3237
2019-12-31,39.3813
2020-01-01,39.865
2020-01-02,39.6298
2020-01-03,39.4554
2020-01-04,39.4554
2020-01-05,39.4469
2020-01-06,39.7207
2020-01-07,39.6899
2020-01-08,39.7752
2020-01-09,39.5538
2020-01-10,39.521
2020-01-11,39.5225
2020-01-12,39.4386
2020-01-13,39.2302
2020-01-14,39.4221
2020-01-15,39.4864
2020-01-16,39.72
2020-01-17,39.5835
2020-01-18,39.5835
2020-01-19,39.5432
2020-01-20,39.4589
2020-01-21,39.6587
2020-01-22,39.9341
2020-01-23,39.9996
2020-01-24,39.9242
2020-01-25,39.9242
2020-01-26,40.0342
2020-01-27,40.1044
2020-01-28,40.0622
2020-01-29,40.3366
2020-01-30,40.7345
2020-01-31,41.21
2020-02-01,41.21
2020-02-02,41.094
2020-02-03,40.3957
2020-02-04,40.3412
2020-02-05,40.284
2020-02-06,40.3084
2020-02-07,40.3705
2020-02-08,40.3705
2020-02-09,40.4302
2020-02-10,40.4247
2020-02-11,40.4295
2020-02-12,40.3854
2020-02-13,40.627
2020-02-14,40.7223
2020-02-15,40.7223
2020-02-16,40.6612
2020-02-17,40.5658
2020-02-18,40.5582
2020-02-19,40.3202
